1,9084,assembled
1,5940,in_delivery
1,7007,delivered
1,6789,created
1,1298,assembled
1,6266,in_delivery
1,2038,delivered
1,6948,in_delivery
1,5689,in_delivery
1,4400,created
1,8489,in_delivery
1,4064,canceled
1,6297,canceled
1,5836,in_delivery
1,7532,in_delivery
1,3847,canceled
2,2291,in_delivery
2,3284,assembled
2,7952,canceled
2,1975,in_delivery
2,628,canceled
2,6220,in_delivery
2,7099,assembled
2,6273,created
2,467,in_delivery
2,507,delivered
2,7368,created
2,4736,delivered
2,146,assembled
2,5642,created
2,1488,assembled
3,467,in_delivery
3,5484,canceled
3,8011,in_delivery
3,2571,in_delivery
3,1969,delivered
3,5692,created
3,5371,canceled
3,6513,assembled
3,4863,canceled
3,921,in_delivery
3,3218,created
3,956,in_delivery
3,323,in_delivery
3,5757,in_delivery
3,6886,created
4,4968,in_delivery
4,6541,in_delivery
4,2409,in_delivery
4,1823,assembled
4,7007,in_delivery
4,1540,created
4,4412,canceled
4,1109,created
4,8424,created
4,3929,delivered
4,7959,canceled
4,1128,canceled
4,4359,created
4,5053,created
4,2068,canceled
5,369,assembled
5,9284,in_delivery
5,3913,delivered
5,8247,created
5,5234,delivered
5,5015,in_delivery
5,6045,created
5,4928,canceled
6,7064,canceled
6,19,in_delivery
6,456,delivered
6,5872,created
6,5909,canceled
6,7890,delivered
6,2774,created
6,9159,created
6,8315,created
6,6237,assembled
6,3434,delivered
6,36,created
6,3400,in_delivery
6,5788,in_delivery
6,4953,created
6,5603,created
6,5515,assembled
6,2250,canceled
7,1703,in_delivery
7,7699,delivered
7,4591,canceled
7,8653,created
7,7040,created
7,1098,canceled
8,8270,assembled
8,7664,canceled
8,1706,created
8,5933,canceled
8,5600,delivered
8,2264,delivered
8,8860,created
9,568,in_delivery
9,7989,assembled
9,994,delivered
9,283,in_delivery
9,3276,canceled
9,6344,in_delivery
9,5329,in_delivery
9,1303,delivered
9,5875,created
9,9228,assembled
9,9207,assembled
9,7464,canceled
9,4041,in_delivery
9,4062,assembled
9,7030,delivered
10,336,assembled
10,7060,delivered
10,3812,created
10,2191,created
10,4399,in_delivery
10,7273,assembled
10,4349,assembled
10,4651,assembled
10,8590,delivered
10,7872,canceled
11,645,created
11,129,created
11,8449,in_delivery
11,9080,delivered
11,3063,assembled
11,3103,assembled
11,3619,canceled
12,5073,created
12,7646,created
12,8833,in_delivery
12,615,delivered
12,268,assembled
12,5133,in_delivery
12,3116,created
12,6892,in_delivery
12,3839,canceled
12,368,canceled
12,5818,assembled
12,3357,delivered
12,9152,canceled
12,4633,in_delivery
13,2753,created
13,5942,in_delivery
13,6906,assembled
13,1594,assembled
13,4951,delivered
13,6416,canceled
13,3718,canceled
13,1305,assembled
13,7359,delivered
13,4634,created
13,7144,delivered
14,652,canceled
14,2415,in_delivery
14,2101,assembled
14,6467,created
14,1482,created
14,7704,created
15,428,created
15,1527,in_delivery
15,5496,delivered
15,4122,created
15,5825,assembled
15,3132,delivered
